authors;publication;link;title;journal;doi;citations;database;forward_from;relevance;issn;jq3_ranking;abstract
Alex Roubos, Sandjai Bhulai & Ger Koole ;2017;https://link.springer.com/chapter/10.1007/978-3-319-47766-4_19;Flexible Staffing for Call Centers with Non-stationary Arrival Rates;Markov Decision Processes in Practice;no doi;11;springer_chapter;feldman_et_al_2008,taylor_2007;False;unknown;k.R.;Abstract We consider a multi-period staffing problem of a single-skill call center. The call center is modeled as a multi-server queue in which the staffing levels can be changed only at specific moments in time. The objective is to set the staffing levels such that a service level constraint is met in the presence of time-varying arrival rates. We develop a Markov decision model to obtain time-dependent staffing levels for both the case where the arrival rate function is known as well as unknown. The characteristics of the optimal policies associated to the two cases are illustrated through a numerical study based on real-life data. We show that the optimal policies provide a good balance between staffing costs and the penalty probability for not meeting the service level. Key words Call centers Markov decision processes Staffing Time-varying arrival rates
Alexander Grigorash , Raymond R. Bond , Maurice D. Mulvenna , Siobhan O’Neill ,  … See all authors;0;https://www.worldscientific.com/doi/abs/10.1142/9789813273238_0158;Frequency domain analysis of telephone helpline call data;World Scientific Proceedings Series on Computer Engineering and Information Science;https://doi.org/10.1142/9789813273238_0158;1;world_scientific;taylor_2007;False;unknown;k.R.;Abstract: The paper presents a frequency domain analysis of call data records of a telephone helpline for those seeking mental health and wellbeing support and for those who are in a suicidal crisis. A call data record dataset provided by Samaritans Ireland helpline is used. Fourier series is used to ascertain periodicity in the call volume. The main findings from the paper indicate that strong repetitive intra-day and intra-week patterns are found, while intra-month repetitions are conspicuously absent.
Alexander Linhart, Jonas Manderscheid, Maximilian Roeglinger;2015;https://aisel.aisnet.org/ecis2015_cr/125/;Roadmap to Flexible Service Processes - A Project Portfolio Selection and Scheduling Approach;ECIS 2015 COMPLETED RESEARCH PAPERS;no doi;7;aisel;askin_et_al_2008;True;unknown;k.R.;Abstract Process flexibility has evolved into a desired corporate capability as it promises to cope with demand uncertainty and variety. Particularly service processes have a high intrinsic need for flexibility. Many approaches have been proposed to determine the business value and an appropriate level of flexibility for service processes. Most of these approaches focus on a distinct flexibility type and on single projects for implementing flexible service processes. The question how to reasonably combine flexibility projects has not been addressed yet. Moreover, most approaches do not conduct a full-fledged economic analysis of process flexibility. We therefore propose a decision model that helps determine an optimal flexibility roadmap, i.e., a scheduled portfolio of flexibility projects with different effects on service processes. The decision model accounts for different request types (i.e., runners, repeaters, and strangers), different capacity types (i.e., internal, external, dedicated, and flexible), different flexibility types (i.e., volume and functional), and related project archetypes. The decision model was evaluated using feature comparison, prototype construction, and a demonstration example including an extensive scenario analysis
Amber L. Puha, Amy R. Ward;2019;https://pubsonline.informs.org/doi/abs/10.1287/educ.2019.0196;Scheduling an Overloaded Multiclass Many-Server Queue with Impatient Customers;INFORMS TutORials in Operations Research;https://doi.org/10.1287/educ.2019.0196;29;pubsonline;gurvich_et_al_2008;False;unknown;k.R.;Abstract We describe a fluid model with time-varying input that approximates a multiclass many-server queue with impatient customers and time-varying arrivals (specifically, the multiclass G/GI/N + GI queue). We show how to use the restricted fluid model with constant input rate to approximately solve scheduling control problems for a queue with constant arrival rate. The key is to characterize the invariant states of the fluid model, because they typically provide an approximation to the mean steady-state behavior of the queue under a wide range of scheduling policies. The resulting fluid control problem motivates using a static priority scheduling policy when the objective is to minimize the long-run average abandonment rate, but it may motivate a different class of scheduling policies when there are also holding costs. We end by discussing several open problems. Video of this TutORial from the 2019 INFORMS Annual Meeting in Seattle, Washington, October 22, 2019, is available at https://youtu.be/IH6349NgGgM.
Amirhosein Patoghi, Ata Allah Taleizadeh, Mohammad Sadegh Moshtagh & Seyed Meysam Mousavi ;2022;https://link.springer.com/article/10.1007/s10668-022-02800-x;Integrated pricing model of new and remanufactured products with joint considerations of quality, sales and collection effort, and return policy;Environment, Development and Sustainability;https://doi.org/10.1007/s10668-022-02800-x;1;springer_article;ren_zhou_et_al_2008;False;unknown;k.R.;Abstract Recently, remanufacturing programs have attracted a lot of attention due to benefits which can provide for both companies and environment. Most papers investigating pricing problem in closed-loop supply chain field (CLSC) supposed that reproduced items’ quality is identical to produced ones. However, in practice, these items are perceived as two different products from customers’ perspective. Therefore, this paper extends a joint pricing model of manufactured–remanufactured items regarding different demands for produced and reproduced items which have different price and quality. We incorporate sales price, quality level, advertisement, return policy, and cross demand into demand expansion for newly produced items, and we discuss the introduction of collection effort and return policy into the quantity of return function. In this study, we investigate two distinct models. In the first model, we presume that there is no remanufacturing, so manufacturer sells products to retailer, and after that, the retailer sells them to customers. In the second model, with-remanufacturing which is comprised of three members (i.e., manufacturer, retailer, and third party) is discussed. Based on two different models, two decentralized problems are discussed for analyzing the best solutions of price, quality, and effort. Managerial insights indicate that adding reverse channel can greatly benefit both companies and environment and can also enhance firm’s position in the competitive market. Further to managerial insights, we determine and compare the optimum solution of two models, and we discuss the model that most benefits the manufacturer, retailer, and customers, respectively. Then an example is provided to simulate the developed problems and run sensitivity analyses to draw some interesting conclusions.
Amy R. Ward, Mor Armony;2013;https://pubsonline.informs.org/doi/abs/10.1287/opre.1120.1129;Blind Fair Routing in Large-Scale Service Systems with Heterogeneous Customers and Servers;Operations Research;https://doi.org/10.1287/opre.1120.1129;75;pubsonline;gurvich_et_al_2008;True;0030-364X;A+;Abstract In a call center, arriving customers must be routed to available servers, and servers that have just become available must be scheduled to help waiting customers. These dynamic routing and scheduling decisions are very difficult, because customers have different needs and servers have different skill levels. A further complication is that it is preferable that these decisions are made blindly, that is, they depend only on the system state and not on system parameter information such as call arrival rates and service speeds. This is because this information is generally not known with certainty. Ideally, a dynamic control policy for making routing and scheduling decisions balances customer and server needs by keeping customer delays low but still fairly dividing the workload amongst the various servers. In this paper, we propose a blind dynamic control policy for parallel-server systems with multiple customer classes and server pools that is based on the number of customers waiting and the number of agents idling. We show that in the Halfin-Whitt many-server heavy-traffic limiting regime, our proposed blind policy performs extremely well when the objective is to minimize customer holding costs subject to “server fairness,” as defined by how the system idleness is divided among servers. To do this, we formulate an approximating diffusion control problem (DCP) and compare the performance of the nonblind DCP solution to a feasible policy for the DCP that is blind. We establish that the increase in the DCP objective function value is small over a wide range of parameter values. We then use simulation to validate that a small increase in the DCP objective function value is indicative of our proposed blind policy performing very well.
Ana Bušić & Jean-Michel Fourneau ;2011;https://link.springer.com/article/10.1007/s10586-011-0160-0;Monotonicity and performance evaluation: applications to high speed and mobile networks;Cluster Computing;https://doi.org/10.1007/s10586-011-0160-0;15;springer_article;feldman_et_al_2008;False;unknown;k.R.;Abstract We illustrate through examples how monotonicity may help for performance evaluation of networks. We consider two different applications of stochastic monotonicity in performance evaluation. In the first one, we assume that a Markov chain of the model depends on a parameter that can be estimated only up to a certain level and we have only an interval that contains the exact value of the parameter. Instead of taking an approximated value for the unknown parameter, we show how we can use the monotonicity properties of the Markov chain to take into account the error bound from the measurements. In the second application, we consider a well known approximation method: the decomposition into Markovian submodels. In such an approach, models of complex networks or other systems are decomposed into Markovian submodels whose results are then used as parameters for the next submodel in an iterative computation. One obtains a fixed point system which is solved numerically. In general, we have neither an existence proof of the solution of the fixed point system nor a convergence proof of the iterative algorithm. Here we show how stochastic monotonicity can be used to answer these questions and provide, to some extent, the theoretical foundations for this approach. Furthermore, monotonicity properties can also help to derive more efficient algorithms to solve fixed point systems.
Andrea Bastianin , Marzio Galeotti & Matteo Manera  ;2018;https://link.springer.com/article/10.1007/s00181-018-1475-y;Statistical and economic evaluation of time series models for forecasting arrivals at call centers;Empirical Economics;https://doi.org/10.1007/s00181-018-1475-y;5;springer_article;milner_olsen_2008,taylor_2007;False;unknown;k.R.;Abstract Call centers’ managers are interested in obtaining accurate point and distributional forecasts of call arrivals in order to achieve an optimal balance between service quality and operating costs. We present a strategy for selecting forecast models of call arrivals which is based on three pillars: (i) flexibility of the loss function, (ii) statistical evaluation of forecast accuracy, and (iii) economic evaluation of forecast performance using money metrics. We implement fourteen time series models and seven forecast combination schemes on three series of daily call arrivals. Although we focus mainly on point forecasts, we also analyze density forecast evaluation. We show that second-moment modeling is important for both point and density forecasting and that the simple seasonal random walk model is always outperformed by more general specifications. Our results suggest that call center managers should invest in the use of forecast models which describe both first and second moments of call arrivals.
Andrés M. Alonso, Carolina García-Martos, Julio Rodríguez & María Jesús Sánchez;2012;https://www.tandfonline.com/doi/abs/10.1198/TECH.2011.09050;Seasonal Dynamic Factor Analysis and Bootstrap Inference: Application to Electricity Market Forecasting;Technometrics;https://doi.org/10.1198/TECH.2011.09050;70;tandfonline;taylor_2007;False;unknown;k.R.;Abstract In this work, we propose the Seasonal Dynamic Factor Analysis (SeaDFA), an extension of Nonstationary Dynamic Factor Analysis, through which one can deal with dimensionality reduction in vectors of time series in such a way that both common and specific components are extracted. Furthermore, common factors are able to capture not only regular dynamics (stationary or not) but also seasonal ones, by means of the common factors following a multiplicative seasonal VARIMA(p, d, q) × (P, D, Q)s model. Additionally, a bootstrap procedure that does not need a backward representation of the model is proposed to be able to make inference for all the parameters in the model. A bootstrap scheme developed for forecasting includes uncertainty due to parameter estimation, allowing enhanced coverage of forecasting intervals. A challenging application is provided. The new proposed model and a bootstrap scheme are applied to an innovative subject in electricity markets: the computation of long-term point forecasts and prediction intervals of electricity prices. Several appendices with technical details, an illustrative example, and an additional table are available online as Supplementary Materials.
Anshul Sheopuri- Sai Zeng- Chitra Dorai All Authors;2008;https://ieeexplore.ieee.org/abstract/document/4736251/;A new policy for the service request assignment problem with multiple severity level, due date and sla penalty service requests;2008 Winter Simulation Conference;https://doi.org/10.1109/WSC.2008.4736251;4;ieeexplore;gurvich_et_al_2008;False;unknown;k.R.;Abstract: We study the problem of assigning multiple severity level service requests to agents in an agent pool. Each severity level is associated with a due date and a penalty, which is incurred if the service request is not resolved by the due date. Motivated by Van Meighem (2003), who shows the asymptotic optimality of the generalized longest queue policy for the problem of minimizing the due date dependent expected delay costs when there is a single agent, we develop a class of index-based policies that is a generalization of the priority first-come-first-serve, weighted shortest expected processing time and generalized longest queue policy. In our simulation study of an assignment system of a large technology firm, the index-based policy shows an improvement of 0-20 % over the priority first-come-first-serve policy depending upon the load conditions.
Antoaneta Momcheva , Emmanouil Avgerinos , Fabrizio Salvador;2022;https://pubsonline.informs.org/doi/abs/10.1287/msom.2022.1125;The Effect of Subcontracted Labor Mix on Financial Performance: Evidence from High-Tech Project Teams;Manufacturing & Service Operations Management;https://doi.org/10.1287/msom.2022.1125;0;pubsonline;bhandari_et_al_2008;True;unknown;k.R.;Abstract Problem definition: We investigate the effect of using subcontracted workers together with permanent workers on project financial performance. Academic/practical relevance: It is widespread practice, across disparate businesses, to staff project teams with subcontracted workers—and yet, despite the prevalence of this phenomenon, there is scant research on how subcontracted workers impact project performance. Investigating such an effect is important because past findings on the effects of subcontracting in retail or assembly lines cannot be hastily extrapolated to the more qualified workers and more demanding tasks normally associated with project environments. Methodology: Building on previous findings about the higher motivation level of subcontracted versus permanent workers when the latter are protected from individual dismissal by the law, we develop hypotheses to conceptualize how and under what conditions subcontracted workers positively impact project performance. We then test our hypotheses by analyzing 413 projects of a European high-tech firm. Results: We find that with increased use of subcontracted workers comes increased project profit margins. This positive effect is stronger for larger teams and weaker when large project scope changes occur or when higher-skilled workers are subcontracted. We also find this effect to be stronger when subcontracted workers are involved in technical rather than administrative roles and when subcontractors join in the later stages of the project. Managerial implications: This study offers guidelines on how project managers can use subcontracting to increase project margins, highlighting strategic and tactical factors that affect the benefits of using subcontracted labor.
April Smith All Authors;2017;https://ieeexplore.ieee.org/abstract/document/8233296/;Applying systems thinking and the cognitive cycle to identify approaches to improve wait times in systems with low customer abandonment;IEEE Engineering Management Review;https://doi.org/10.1109/EMR.2017.2768507;0;ieeexplore;soyer_tarimcilar_2007;False;unknown;k.R.;Abstract: System managers can benefit from applying systems thinking and the cognitive cycle to queueing systems where customers have involuntary, infinite patience, and the number of servers is state-dependent. In these queueing systems, customers do not or cannot renege, and further, the system may not lend itself to analysis under Markovian assumptions. Under these circumstances, managers tasked with improving system performance need methods of identifying improvement strategies that queueing theory may not make readily apparent. We develop a generic system dynamics (SD) queueing model, which reveals variables that may be significant contributors to queueing performance but may not be explicitly considered in traditional queueing models. The SD model identifies three classes of variables associated with the cognitive cycle, i.e., system customers and servers perform functions related to detection, interpretation, and action. Via simulation, we apply the generic model to passport inspection stations at John F. Kennedy International Airport then develop a matrix, which demonstrates options for addressing system performance beyond increasing the number of servers.
Armann Ingolfsson, Susan Budge & Erhan Erkut ;2008;https://link.springer.com/article/10.1007/s10729-007-9048-1;Optimal ambulance location with random delays and travel times;Health Care Management Science;https://doi.org/10.1007/s10729-007-9048-1;344;springer_article;atlason_et_al_2007;True;1386-9620;A;Abstract We describe an ambulance location optimization model that minimizes the number of ambulances needed to provide a specified service level. The model measures service level as the fraction of calls reached within a given time standard and considers response time to be composed of a random delay (prior to travel to the scene) plus a random travel time. In addition to modeling the uncertainty in the delay and in the travel time, we incorporate uncertainty in the ambulance availability in determining the response time. Models that do not account for the uncertainty in all three of these components may overestimate the possible service level for a given number of ambulances and underestimate the number of ambulances needed to provide a specified service level. By explicitly modeling the randomness in the ambulance availability and in the delays and the travel times, we arrive at a more realistic ambulance location model. Our model is tractable enough to be solved with general-purpose optimization solvers for cities with populations around one Million. We illustrate the use of the model using actual data from Edmonton.
Arpan Rijal , Marco Bijvank , Asvin Goel , René de Koster;2021;https://pubsonline.informs.org/doi/abs/10.1287/trsc.2020.1029;Workforce Scheduling with Order-Picking Assignments in Distribution Facilities;Transportation Science;https://doi.org/10.1287/trsc.2020.1029;14;pubsonline;bhandari_et_al_2008;True;0041-1655;A;Abstract Scheduling the availability of order pickers is crucial for effective operations in a distribution facility with manual order pickers. When order-picking activities can only be performed in specific time windows, it is essential to jointly solve the order picker shift scheduling problem and the order picker planning problem of assigning and sequencing individual orders to order pickers. This requires decisions regarding the number of order pickers to schedule, shift start and end times, break times, as well as the assignment and timing of order-picking activities. We call this the order picker scheduling problem and present two formulations. A branch-and-price algorithm and a metaheuristic are developed to solve the problem. Numerical experiments illustrate that the metaheuristic finds near-optimal solutions at 80% shorter computation times. A case study at the largest supermarket chain in The Netherlands shows the applicability of the solution approach in a real-life business application. In particular, different shift structures are analyzed, and it is concluded that the retailer can increase the minimum compensated duration for employed workers from six hours to seven or eight hours while reducing the average labor cost with up to 5% savings when a 15-minute flexibility is implemented in the scheduling of break times.
Ashesh Kumar Sinha,  Ananth Krishnamurthy;2019;https://onlinelibrary.wiley.com/doi/abs/10.1111/poms.13125;Production and Capacity Utilization Strategies in Supply Chains for Complex Engineered Products;Production and Operations Management;https://doi.org/10.1111/poms.13125;1;wiley;gurvich_et_al_2008;True;1059-1478;A;Abstract We analyze production and capacity utilization strategies in a supply chain where individual components can be made either at a shared in-house manufacturing facility or at dedicated facilities of external subcontractors. The manufacturer and the subcontractor differ in terms of costs, production capacities, rates, and service level capabilities. Using Markov decision process models, we determine the optimal policy and characterize its structure. We derive the set of conditions that partitions the state space into regions and characterize optimal policies in each region. We derive optimal policies for manufacturer and subcontractors under different settings and show that the optimal policy has a multi-index structure in some settings.
Asli Kilic, M Cemali Dincer & Mahmut Ali Gokce ;2013;https://link.springer.com/article/10.1057/jors.2013.52;Determining optimal treatment rate after a disaster;Journal of the Operational Research Society;https://doi.org/10.1057/jors.2013.52;15;springer_article;atlason_et_al_2007,bhandari_et_al_2008;True;unknown;k.R.;Abstract From the standpoint of medical services, a disaster is a calamitous event resulting in an unexpected number of casualties that exceeds the therapeutic capacities of medical services. In these situations, effective medical response plays a crucial role in saving life. To model medical rescue activities, a two-priority non-preemptive S-server, and a finite capacity queueing system is considered. After constructing Chapman–Kolmogorov differential equations, Pontryagin's minimum principle is used to calculate optimal treatment rates for each priority class. The performance criterion is to minimize both the expected value of the square of the difference between the number of servers and the number of patients in the system, and also the cost of serving these patients over a determined time period. The performance criterion also includes a final time cost related to deviations from the determined value of the desired queue length. The two point boundary value problem is numerically solved for different arrival rate patterns and selected parameters.
Asli Sencer Erdem- Burak Gedikoglu All Authors;2007;https://ieeexplore.ieee.org/abstract/document/4077518/;A DSS for Shift Design and Workforce Allocation in a Call Center;2006 Technology Management for the Global Future - PICMET 2006 Conference;https://doi.org/10.1109/PICMET.2006.296696;7;ieeexplore;cezik_l_ecuyer_2008;False;unknown;k.R.;Abstract: Workforce scheduling, shift design and staff allocation are the major problems in call center management. The aim of the call center manager is to allocate and dynamically update the workforce so that the incoming calls are answered in the shortest possible time, above certain service level measures. The software tools developed to aid decision making in these areas use the models that are based on Erlang C calculations. However the strict assumptions of Erlang-C often lead to invalid decisions. Especially at peak times during the day, dynamic updates in the proposed design is inevitable. In this study, a framework for a decision support system is proposed for designing the shifts and allocating the agent workforce to the shifts in a call center, so that target service levels are met. In the proposed system, shifts are designed by solving a linear optimization model. Using this solution as the input, a simulation model is developed to dynamically update the workforce design so that the minimum required service level is met at all times. The proposed DSS is illustrated on an existing call center system, alternative designs are generated and compared.
Athanassios N. Avramidis , Wyean Chan & Pierre L'Ecuyer;2009;https://www.tandfonline.com/doi/abs/10.1080/07408170802322986;Staffing multi-skill call centers via search methods and a performance approximation;IIE Transactions;https://doi.org/10.1080/07408170802322986;101;tandfonline;atlason_et_al_2007,cezik_l_ecuyer_2008;True;0740-817X;A;Abstract A multi-skill staffing problem in a call center where the agent skill sets are exogenous and the call routing policy has well-specified features of overflow between different agent types is addressed. Constraints are imposed on the service level for each call class, defined here as the steady-state fraction of calls served within a given time threshold, excluded. An approximation of these service levels is developed that allows an arbitrary overflow mechanism and customer abandonment. A two-stage heuristic that finds good solutions to mathematical programs with such constraints is developed. The first stage uses search methods supported by the approximation. Because service level approximation errors may be substantial, the solution is adjusted in a second stage in which performance is estimated by simulation. Realistic problems of varying size and routing policy are solved. The proposed approach is shown to be competitive with (and often better than) previously available methods. [Supplementary materials are available for this article. Go to the publisher's online edition of IIE Transactions for the following free supplemental resource: Appendix]
